s(1/A)      f0_exact        f0_model        f0_exact-f0_model
4.130000  2.7827978513e-05  2.7817787901e-05  1.019e-08
4.140000  2.7561484801e-05  2.7551831657e-05  9.653e-09
4.150000  2.7298170231e-05  2.7289107360e-05  9.063e-09
4.160000  2.7037989448e-05  2.7029566202e-05  8.423e-09
4.170000  2.6780897850e-05  2.6773159876e-05  7.738e-09
4.180000  2.6526851572e-05  2.6519840586e-05  7.011e-09
4.190000  2.6275807473e-05  2.6269561053e-05  6.246e-09
4.200000  2.6027723124e-05  2.6022274526e-05  5.449e-09
4.210000  2.5782556791e-05  2.5777934793e-05  4.622e-09
4.220000  2.5540267427e-05  2.5536496193e-05  3.771e-09
4.230000  2.5300814654e-05  2.5297913626e-05  2.901e-09
4.240000  2.5064158754e-05  2.5062142570e-05  2.016e-09
4.250000  2.4830260656e-05  2.4829139091e-05  1.122e-09
4.260000  2.4599081923e-05  2.4598859857e-05  2.221e-10
